donor_name,canonical_name,total_given,rank_overall
International HIV AIDS Alliance,,12921070.43,3468
INTERNATIONAL HUMAN BENEFIT SERVICES INC,,30903460,1563
International Initiative for Impact Evaulation,,39903065.38,1174
International Institute for Environment and Development,,30549748.06,1576
INTERNATIONAL ISLAMIC CHARITABLE ORGANISATION,International Islamic Charity Organisation,12072934.46,3689
International Islamic Charitable Orgnanisation,International Islamic Charity Organisation,21083435,2281
International Islamic Charitable Orgnisation,International Islamic Charity Organisation,20763389.25,2317
INTERNATIONAL ISLAMIC CHARITY ORGANISATION,International Islamic Charity Organisation,128010319.9,330
International Islamic Charity Organisation,International Islamic Charity Organisation,49049922.96,911
International Islamic Organization,International Islamic Charity Organisation,26886428.87,1800
INTERNATIONAL ISLAMIC ORGANIZATION,International Islamic Charity Organisation,21023159,2291
INTERNATIONAL JUSTICE MISSION IJM,,25624532,1876
International Kolping Society,,125076929.3,333
International Land Coilation,,10651955,4097
INTERNATIONAL LEARNING MOVEMENT,,8746438.58,4774
International Ministries,,9148904.69,4625
INTERNATIONAL MISSION BOARD,,10004979.47,4289
International Network of Civil Liberty Organization,,77472444.5,560
INTERNATIONAL PARTNERSHIP MINISTERS,,64200060,680
International Planned Parenthood Federation,,529433615,54
International Rhino Foundation,,13893988,3246
International Rugby Development Ltd,,14945419.5,3059
International Service Fellowship,,12655137.7,3547
International Shooting Sports Federation,,22640489,2153
International Sri madhavananda Ashram fellowship,,133280268,315
INTERNATIONAL UNION AGAINST TUBERCULOSIS AND LUNG DISEASE,International Union Against Tuberculosis and Lung Diseases,10165627,4241
International Union Against Tuberculosis and Lung Diseases,International Union Against Tuberculosis and Lung Diseases,11117478,3960
International Union Conservation for Nature KFW,,104733713.5,399
Interserve International,,14505024.36,3117
IOM Mankind Charitable Society,,10200000,4229
iPartner India,,13410234.5,3358
IPAS Development Foundation,Ipas Development Foundation,29756485,1627
Ipas Development Foundation,Ipas Development Foundation,11634568,3809
IPAS DEVELOPMENT FOUNDATION,Ipas Development Foundation,8636921,4832
Ipas Devlopment Foundation,Ipas Development Foundation,9613348,4467
Ipas Inc,Ipas Development Foundation,1189394340,18
IPC Educational and Welfare Society of NA IN,,43567201,1047
IPHC,,19054018.13,2488
IQVIA Quintiles Research India Private Limited,,8310000,4962
IREF INCORPORATION,,128244936,328
Irfaz International Limited,,8439437,4908
IRR TV ry,,18400419.73,2576
ISABEL MARTIN FOUNDATION,,20795715,2313
ISENBERG FAMILY CHARITABLE FOUNDATION,,20656000,2329
ISLAMIC,,14226736.23,3177
ISLAMIC CIRCLE OF NORTH AMERICA,,10339332,4191
ISLAMIC DEVELOPMENT BANK,,10869159.75,4020
ISLAMIC HUMANITARIAN SERVICES,,10675692,4088
Islamic Relief Worldwide,,356404890.6,86
ISSA FOUNDATION,,680006284,38
Istitutio della Figlie  di S. Maria Della Divina Provvidenza,,9300617.56,4567
It is Written International,,12615177.28,3556
ITALIAN ASSICIATION AMICI DI RAOUL FOLLEREAU AIFO,,23926289,2039
Italian Bhishops Conference,CEI Italian Bishops Conference,13321009,3378
Italian Bishop Conference,CEI Italian Bishops Conference,10919460,4008
Italian Bishops,CEI Italian Bishops Conference,12073033,3688
Italian Bishops Conferance,CEI Italian Bishops Conference,45943456,983
Italian Bishops Conference,CEI Italian Bishops Conference,82629519.56,527
ITALIAN BISHOPS CONFERENCE,CEI Italian Bishops Conference,61348289.5,737
Italian Bishops conference Committee and Service for Charitable Action in Third World Countries,CEI Italian Bishops Conference,22250885,2183
Italian Bishops Confrence,CEI Italian Bishops Conference,10436817,4161
Italian Episcopal Conference,CEI Italian Bishops Conference,24912670,1940
ITALIAN EPISCOPAL CONFERENCE SERVICE CHARITABLE WORK IN FAVOR OF THIRD WORLD,CEI Italian Bishops Conference,17045672,2743
Italiana Bishops Conference,CEI Italian Bishops Conference,14166351,3190
ITC,ITC Limited,13107000,3430
ITC LIMITED,ITC Limited,179490359,217
ITC Limited,ITC Limited,145112994,282
ITC Ltd,ITC Limited,9591396,4476
ITX TRADING INDITEX,,8582835.95,4858
IVM,,24310062,2004
J K GROUP INC,JK Group Inc,15551657.19,2960
J P MORGAN,JP Morgan,13640565,3296
J P MORGAN ADVISORS INDIA PRIVATE LIMITED,JP Morgan,9700000,4422
J P MORGAN SECURITIES I PVT LTD,JP Morgan,14500000,3120.5
J P Morgon Services India Limited,JP Morgan,18283314,2593
J. P. Morgan,JP Morgan,35000000,1347
J. P. Morgan India Pvt Ltd,JP Morgan,34742000,1358
J. P. Morgan Services India Private Limited,JP Morgan,26013104,1860
Jagadguru Kripalu Higher Education Society,,217700000,157
JAIN VISHWA BHARATI USA,,8588683.75,4857
Jaison Ambaden,,26155978,1851
Jal Seva Charitable Foundation,Jal Seva Charitable Foundation,181562658,212
JAL SEVA CHARITABLE FOUNDATION,Jal Seva Charitable Foundation,57580913,787
JAL SEVA CHARITABLE FOUNDATION...Asso ciate member of WaterAid International,Jal Seva Charitable Foundation,11332073,3895
JALA SEVA CHARITABLE FOUNDATION,Jal Seva Charitable Foundation,11480973,3859
Jala Seva Charitable Foundation,Jal Seva Charitable Foundation,10568200,4119
Jalseva Charitable Foundation,Jal Seva Charitable Foundation,9707129,4419
JAMAIYAH AHYAUTTORAS ALISLAMI,,20433682.09,2349
Jambudipa Trust,,11061000,3970
James Foundation,,17367501,2701
Jamia Islamia Ishaatul Uloom,,44338367.82,1023
JAMIA ISLAMIA QASMIA TRUST BALASATH UK,,10443413,4158
JAMIAT EHYATTURAS AL ISLAMI,,18594415,2550
jamiat ulama I HIND,JAMIAT ULAMA I HIND UK LTD,15583194,2953
JAMIAT ULAMA I HIND UK LTD,JAMIAT ULAMA I HIND UK LTD,32814239.5,1464
JAMIATUL ULMA SOUTH AFRICA RELIFE ACCOUNT,,15894691,2902
Jamsetji Tata Trust,,30556000,1574
Jan Vikas Samiti,Jan Vikas Samiti,47259868,957
JAN VIKAS SAMITI,Jan Vikas Samiti,40074783,1161
JANE C RASCH,,20729475.08,2321
Jannsen Pharmaceutical Companies of Johnson and Johnson,,15612533.84,2949
JANVIKAS,,25015926.19,1923
Japan Yoga Niketan,,11992000,3711
JASMINE SOCIAL INVESTMENTS,,21389429.6,2256
JATON CORPORATION,,9712438,4417
JB Foundation,,24933023,1939
JCD Foundation,JCD Foundation,304991357,101
JCD FOUNDATION,JCD Foundation,61724976,732
JEEV SEWA SANSTHAN,JEEV SEWA SANSTHAN,70511133,615
JEEV SEWA SANTHAN,JEEV SEWA SANSTHAN,13675569,3287
Jeevan Jyothi Association or  JJS Switzerland,,13272614.11,3388
Jesuit Conference of India,,21457154,2247
Jesuit International Mission,Jesuit International Mission,64121627,682
Jesuit International Missions,Jesuit International Mission,90321377.25,478
Jesuit Mission,,134014939.2,312
JESUIT MISSION,,8552004.69,4867
Jesuit Missions Malta,,16277210.55,2852
JESUIT PROVINCE,,14082499.5,3207
Jesuit Refugee Service,,63604568.56,697
JESUITEN MISSION,Jesuiten Mission,39098344.73,1202
Jesuiten Mission,Jesuiten Mission,34788579.57,1355
Jesuiten weltweit MISSION MIT MENSCHEN,,11917497,3727
Jesuitenmission,Jesuiten Mission,91398152.39,472
JESUITENMISSION,Jesuiten Mission,33917712.01,1404
JESUITENMISSIONS,Jesuiten Mission,52906534,841
Jesuits Midwest,,11131756.51,3953
JESUS CALLS INTL,,29995769.75,1612
Jesus for Asia,,49396610.18,903
JESUS MINISTRIES,,14765912.75,3076
JESUS MINISTRIES INTERNATIONAL,,38523057,1220
JET USA INC,,117116299,351
JIANDER FOUNDATION,,48151773.33,937
JIMMY JILLIA INDIA MISSION FUND,,14465214,3125
Jiv Daya Foundation,Jiv Daya Foundation,48396491.28,928
JIV DAYA FOUNDATION,Jiv Daya Foundation,9414654.64,4533
JK Group INC,JK Group Inc,30544437.24,1578
JKP Foundation,,97103801.22,442
JKP Radha Madhav Dham,,19374644,2455
JL PATT AND FRIENDS,,10525968,4130
Jochnick Foundation,,32849615.5,1459
Joe Homan Charity,,25326387.5,1903
JOHN and CATHERINE T MacARTHUR FOUNDATION,John D and Catherine T MacArthur Foundation,67762492,644
John And Catherine T Macarthur Foundation,John D and Catherine T MacArthur Foundation,17547259.87,2678
JOHN C MARTIN FOUNDATION,,86789928,500
JOHN D AND CATHERINE T MAC ARTHUR FOUNDATION,John D and Catherine T MacArthur Foundation,23598941.14,2076
John D and Catherine T MacArthur Foundation,John D and Catherine T MacArthur Foundation,29121400,1657
John Deere India,John Deere India,20017292,2384
John Deere India Pvt Ltd,John Deere India,9777912,4395
John Templeton Foundation,,8357737,4946
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,92690166,467
Johns Hopkins University,Johns Hopkins University,18685252,2536
Johnson  and Johnson,Johnson and Johnson Pvt Ltd,13248850,3393
Johnson  Johnson Pvt Ltd,Johnson and Johnson Pvt Ltd,16658656,2787
Johnson and Johnson Private Limited,Johnson and Johnson Pvt Ltd,14206865,3181
Johnson and Johnson Private Ltd,Johnson and Johnson Pvt Ltd,26906901.68,1797
Johnson and Johnson Pvt Ltd,Johnson and Johnson Pvt Ltd,33410445,1429
JOHNSON and JOHNSON VISION CARE INC,,18641721,2541
Jose Harvey MONTANA PLAZA,,12862436,3495
JOY CHRISTIAN FELLOWSHIP,,10334051.79,4192
Joy global India Limited,,19043528,2489
Joy Sowers,,12968651.67,3462
Joyce Meyer Ministries,,102856616.3,408
JOYFUL JOURNEY INC,,15430339,2978
JP Morgan Securities India Pvt Ltd,JP Morgan,13600000,3309.5
JP Morgan Services India Pvt Ltd,JP Morgan,10944000,3998
JPMorgan Chase Bank N.A. India,JP Morgan,124426458,335
JTIP Grants Management Office Central,,42868378.3,1072
JUAN BONAL FUNDACION,,14981320,3054
Jubilee Campaign UK,,24575886.98,1974
Jugend Eine Welt Don Bosco,,34549828,1372
JUGENDHILFE WELTWEIT,Jugendhilfe Weltweit,30504390.2,1579
Jugendhilfe Weltweit,Jugendhilfe Weltweit,23713825.1,2064
JULES AND PAUL EMILE LEGER FOUNDATION,,9049559,4651
JUNIPER NETWORKS INDIA PVT LTD,,13988551,3229
Justice and Care UK,,827820599.5,29
Justice Ventures International,,8450666,4904
Jyothi Corp,,11181009.33,3941
K V Annie,,14559798,3107
kacitta buddhist limited,,16766887,2773
Kadoori Charitable Foundation,,16664680,2786
KAGYU MONLAM INTERNATIONAL,,23680736,2067
KAL ONLUS ASSOCIATION,,11538245,3837
KAMONOHASHI,,11875393,3740
Kamonohashi Project,,12264387.62,3653
KANCHI KAMAKOTI SEVA FOUNDATION,,9899276.15,4349
KANGYUR RINPOCHE FOUNDATION,,9895565.98,4350
Karl Kubel Stiftung,Karl Kubel Stiftung,34967359.5,1349
KARL KUBEL STIFTUNG,Karl Kubel Stiftung,23057983.4,2116
Karl Kubel Stiftung BMZ Germany,Karl Kubel Stiftung,18466332,2569
Karl Kubel Stiftung for Child and Family,Karl Kubel Stiftung,20376709.83,2356
Karl Kubel Stiftung for Kind and Familie,Karl Kubel Stiftung,42919676.6,1070
Karl Kubel Stiftung for Kind And Familie,Karl Kubel Stiftung,19498722.9,2437
KARL KUBEL STIFTUNG FOR KIND UND FAMILIE,Karl Kubel Stiftung,16447536.5,2825
Karl Kubel Stiftung Fur Kind And Familie,Karl Kubel Stiftung,24175886.69,2013
Karl Kubel Stiftung fur Kind and Familie,Karl Kubel Stiftung,11331920,3896
Karl Kubel Stiftung fur Kind und Familie,Karl Kubel Stiftung,105378201,396
KARL KUBEL STIFTUNG FUR KIND UND FAMILIE,Karl Kubel Stiftung,44722134.37,1013
Karl Kubel Stiftung Fur Kind Und Familie,Karl Kubel Stiftung,11239116.2,3917
karl kubel stiftung fur kind und Familie KKS,Karl Kubel Stiftung,48482713.18,924
Karl Kubel Stiftung Kind und familie KKS,Karl Kubel Stiftung,13459447,3343
KARL KUBELSTIFTUNG FUR UND FAMILIE,Karl Kubel Stiftung,12117875,3678
KARL KUEBEL STIFIUNG FUER KIND UND FAMILE,Karl Kubel Stiftung,15454283,2972
KARL KUEBEL STIFTUNG FUER KIND,Karl Kubel Stiftung,13126202,3424
Karl Kuebel Stiftung Fur Kind Und Familie,Karl Kubel Stiftung,30892039.6,1565
KARMAPA FOUNDATION EUROPE,Karmapa Foundation Europe,10000000,4298
Karmapa Indo Teibetology School eV,Karmapa Indo Teibetology School eV,25510934,1886
Karmapa Indo Tibetology School EV,Karmapa Indo Teibetology School eV,29844039,1619
Karmeliten Provinz  St Thomas Indien Deutschland E V,Karmeliten Provinz St Thomas Indien Deutschland E v,22133292,2195
KARMELITEN PROVINZ ST THOMAS INDIEN DEUTSCHLAND,Karmeliten Provinz St Thomas Indien Deutschland E v,49418960.23,902
Karmeliten Provinz St Thomas Indien Deutschland E v,Karmeliten Provinz St Thomas Indien Deutschland E v,9147952,4626
Karnataka Fransalian Society,,10703490,4073
Karnataka Health Promotion Trust,Karnataka Health Promotion Trust,65382291,666
Karnataka Health Promotion Trust KHPT,Karnataka Health Promotion Trust,11513470,3846
Karnataka Jesuit Educational Society,Karnataka Jesuit Educational Society,46966023,962
KARNATAKA JESUIT EDUCATIONAL SOCITY,Karnataka Jesuit Educational Society,14006738,3221
Karnataka Regional Organisation for Social Service,,10720006.8,4068
Karolinska Institute,,8270217,4980
KARTARPUR CHARITABLE FUND,,10791713,4045
Karuna Trust,,41034519,1122
Kath Jugendwerk Oster Bundles Stelle F Kirchl Kinder u  Jugend,,15613586,2948
KATH KIRCHEN STIFTUNG,,12770856,3524
Kath Kirchengemeinde,,9820573.35,4382
Kath Kirchenpflege,,8359452,4945
Kath Kirchenstiftung,,8505929.48,4882
Kath Pfarramt,,29843899,1620
Katholics Zental Stelle Misseror,,30421317.7,1586
Katholieke Universiteit Te Leuven,,16481290.11,2821
Katholische Zentralstele Entwicklungshilfe,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),111627383.3,373
Katholische Zentralstele Entwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),12829062.8,3502
Katholische Zentralstelle  for Entwicklungshilfe,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),27463174,1758
KATHOLISCHE ZENTRALSTELLE FUR ENTWICKLUNGSHI LFE E V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),13759245,3271
Katholische Zentralstelle Fur Entwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),15688599,2939
Katholische Zentralstelle fur Entwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),14346012.7,3148
katholische Zentralstelle fur Entwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),8384789.15,4935
Katholische Zentralstelle fur Entwicklungshilfe ev,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),134068060.2,311
Katholische Zentralstelle Fur Entwicklungshilfe ev,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),14273873.2,3164
Katholisches Pfarramt Wangs,,9934611,4336
Katholishce Zentralstelle furEntwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),36113913.1,1304
katholosche Zentralstelle fur Entwicklungshife e v,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),19528787,2432
Katholtsche Zentralst,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),13464415,3338
Katholtsche Zentralst for Entwicklund,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),12074347.5,3687
Kathotische Zentralstelle Fur Entwicklungshilfe,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),24835155,1954
KATI BU MKUU WIZARA,,23213340,2105
Keep A Child Alive,,60786920.99,748
Ken and Gill Harris Kiwis for Himalayas,,27808106.2,1736
Kents Trust,,9224102.52,4598
KENTWOOD COMMUNITY CHURCH,,9470409.25,4517
KERALA CHRISTIAN MISSION INC,,55354245,817
Kerk in Actie,Kerk in Actie,17849630,2645
Kerk In Actie,Kerk in Actie,8944537,4691
Kerkelijke Stiching missienbureau,,10856836,4027
Ketholische Zentralstelle fur Entwicklungshilfe e V,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),14784951.56,3075
KewalRam Chenarai,,19980000,2391
Keystone Foundation,Keystone Foundation,19842505,2405
KEYSTONE FOUNDATION,Keystone Foundation,8995237,4672
KFB Austria,,9293232,4568
KFHI,Korea Food for the Hungry International,42605381.75,1083
Khandel Light England,,11181924.57,3940
KHANDWA DIOCESE,,8268208,4982
Khimji  Ramdas  LLC,,22890000,2128
KHYENTSE FOUNDATION,Khyentse Foundation,45337888,994
Khyentse Foundation,Khyentse Foundation,18005597,2623
KIDSTOWN INTERNATIONAL,Kidstown International,16048645.97,2884
Kidstown International,Kidstown International,10649373.79,4099
KINDER MISSION,Kinder Missionswerk,10855663.17,4029
Kinder Mission Work,Kinder Missionswerk,9580293.78,4478
Kinder missions werk,Kinder Missionswerk,11879213.26,3738
Kinder Missionswerk,Kinder Missionswerk,33133292.15,1448
KINDER MISSIONSWERK,Kinder Missionswerk,27258246.15,1770
KINDER NOT HILFE,Kinder Not Hilfe e V,19973460.74,2393
Kinder Not Hilfe e V,Kinder Not Hilfe e V,40165740.19,1155
Kinder Not Hilfe ev,Kinder Not Hilfe e V,11165280.76,3943
Kinder Nothilfe e v,Kinder Not Hilfe e V,27303347.3,1763
Kinder Strasse Indian,,9606027.56,4471
kinder und leprahilfe,,9575772.13,4479
Kinderen Deren Derde Wereld,,13018711,3448
KINDERHEIM NETHANJA NARSAPUR CHRISTLICHE MISSION INDIEN,Kinderheim Nethanja Narsapur Christliche Mission Indien,62278083.75,722
Kinderheim Nethanja Narsapur Christliche Mission Indien,Kinderheim Nethanja Narsapur Christliche Mission Indien,23896758,2044
Kinderhilfe Emmaus,,11010859,3981
KINDERHILFE INDIEN,,19993042.46,2390
KINDERHILFSWERK STIFTUNG GLOBAL CARE,Kinderhilfswerk Stiftung Global Care,24353764.96,1999
Kinderhilfswerk Stiftung Global Care,Kinderhilfswerk Stiftung Global Care,14015463,3219
KINDERMISSIONSW ERK,Kinder Missionswerk,26483635.93,1833
Kindermissionswerk,Kinder Missionswerk,143706308.2,285
KINDERMISSIONWE RK,Kinder Missionswerk,32511729.24,1474
Kindermissionwerk,Kinder Missionswerk,57091985.72,797
Kindermissionwerk die sternsinger e.V,Kinder Missionswerk,11482388.38,3857
KINDERNORTHILFE,Kinder Not Hilfe e V,19664281,2420
KINDERNOTHILFE,Kinder Not Hilfe e V,37151692.4,1267
Kindernothilfe,Kinder Not Hilfe e V,36924003.04,1273
kindernothilfe,Kinder Not Hilfe e V,8898295,4708
Kindernothilfe e V,Kinder Not Hilfe e V,49371208.29,904
KINDERNOTHILFE E V,Kinder Not Hilfe e V,23126741.05,2111
Kindernothilfe E V,Kinder Not Hilfe e V,11211729.01,3933
KINDERNOTHILFE e v,Kinder Not Hilfe e V,8243477.43,4992
KINDERNOTHILFE EV,Kinder Not Hilfe e V,21576673.4,2233
Kindernothilfe KNH,Kinder Not Hilfe e V,9714656.71,4416
Kindernothilife Dusseldorfer Landstr,Kinder Not Hilfe e V,11844792,3748
Kinderpostzegels,,24296453.21,2007
King Baudouin Foundation,,10618674.24,4107
KINGDOM LIFE NETWORK,,33152091.86,1447
Kingdom of the Netherlands,Embassy of the Netherlands,13123179,3425
Kings College London,,9964110,4321
KINGS WORLD TRUST FOR CHILDREN,,14486484,3123
KINGSLAND BAPTIST CHURCH,,8431098.15,4912
KINSHIP CANADA,,67149701.85,648
Kinship Canada,,11219987.64,3927
KIOS The Finnish NGO Foundation for Human Rights,,10163353,4243
KIRCHE DES NAZARENERS,,109636611,380
Kirche in Not,Kirche in Not,117733963,347
KIRCHE IN NOT,Kirche in Not,83181855.92,523
Kirche In Not,Kirche in Not,34386810.81,1377
kirche in not,Kirche in Not,8803963.6,4752
Kirche In Not Ostpriesterhelf Germany,Kirche in Not,12981775.9,3459
Kirchedes Nazareners Eurasia Region,,8690785.6,4800
Kloster der,,18712305,2533
KLOSTER MARIA HILF MOTHER HOUSE,,22157935,2191
Kloster St Trudpert,,38578218.58,1218
Knanaya Catholic Region Chicago,,10306256,4201
KNCV Tuberculosis Foundation,,33251588,1438
KNH GERNMANY,Kinder Not Hilfe e V,33771644.84,1410
KNH KINDERNOTHIFE,Kinder Not Hilfe e V,10207757.66,4227
Kodai Friends Internaitonl Inc,,10236800.33,4223
Kolbe Ashram,,31139554,1548
Kolping India,Kolping India,22208455.68,2186
KOLPING INDIA,Kolping India,11937380.05,3722
KONGREGATION D MISSIONARE V,Kongregation D Missionaries  des Hl Franz von Sales  MSFS,49895213,889
Kongregation D Missionaries  des Hl Franz von Sales  MSFS,Kongregation D Missionaries  des Hl Franz von Sales  MSFS,37780974,1246
Kongregation der dillinder Fraziskanerinnen,,31619000,1523
KONGREGATION DER MISSIONARE DES HI FRANZ VON SALES,Kongregation D Missionaries  des Hl Franz von Sales  MSFS,25294232,1906
Kongregation Der St Franziskusschwestern,,29374739.41,1642
KONRAD ADENAUER STIFTUNG,,31407592.8,1533
Korea Hope Foundation,,10650244,4098
KPMG EAST AFRICA LIMITED,,46294622,977
KPSNA CHARITABLE FOUNDATION INC,,13297067.06,3385
Kripalani Foundation,,14089636,3206
KRIPALAYA,Kripalaya Institute of Religious Studies,19500000,2436
Kripalaya Institute of Religious Studies,Kripalaya Institute of Religious Studies,39209617,1197
Kriya Yoga Institute USA,,40325252,1148
KUKI CHRISTIAN CHURCH MISSION,,49685700,899
KULPAHAR KIDS HOME AND CHRISTIAN SCHOOL,Kulpahar Kids Home and Christian School,45961347,982
kusuma Trust,,12244029,3661
KUWAIT FOOD BANK,,10485169,4147
KUWAIT RED CRESCENT SOCIETY,,13988031,3231
KYNAROU,,29244383.22,1651
KZE,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),82796678.03,524
KZE MISEREOR,Katholische Zentralstele Entwicklungshilfe (KZE Misereor),109700139.3,379
L  Albero Della Vita,Fondazione L Albero della Vita,8431023.09,4913
l Istituto della Figlie di S Maria Della Divina Provvidenza,,14160927.8,3192
La Caixa Banking Foundation,,72045126,602
LA CHAINE DE L ESPOIR,,26490026.71,1832
LA CITE DE LA JOIE DE,LA CITE DE LA JOIE DE DOMINIQUE LAPIERRE,62494939.31,718
LA CITE DE LA JOIE DE DOMINIQUE LAPIERRE,LA CITE DE LA JOIE DE DOMINIQUE LAPIERRE,14332190,3150
LA CONFERENZA EPISCOPALE ITALIANA,,30079957,1605
LA OBRA MAXIMA,,12084203,3684
Lachmis International Ltd,,41228228.12,1115
Laguna Foundations,,13420416,3355
LAKARMISSIONEN,,15176804,3024
Lamb and Lion Ministries,,9207811,4603
LAME WALK,,69818720.3,623
Land of compassion Buddha,,9991625.65,4306
Landesa,Landesa,19165997,2474
LANDESA,Landesa,10439147,4160
LARARFORBUNDET,,13824475,3259
Last Hour Ministry,,100000000,426
LATE DR VINCENT JOHN ADAMS FLYNN   MR TIM EAKIN PARTNER EAKIN McCAFFERY COX,,15861665,2910
LAVARRA LIMITED COMPANY,,41006150,1124
LAVELLE FUND FOR THE BLIND,,21871513,2213
LBW Trust,,13178142.87,3415
Leaders Quest Foundation,,13483480.14,3334
Learning for Life,,20674895,2326
Lebara Foundation,Lebara Foundation,103174824.8,406
LEBARA FOUNDATION,Lebara Foundation,24890488,1945
Leben Ohne Lepra e V,,21788429.06,2219
Leogold Global,,18971260,2497
LEONARD CHESHIRE DISABILITY,Leonard Cheshire Disability,41992728,1097
Leonard Cheshire Disability,Leonard Cheshire Disability,32247000,1489
LEONARD CHESHIRE DISABLITY,Leonard Cheshire Disability,8673000,4814
LEOPOLD BACHMANN FOUNDATION,,11618168.8,3814
Lepra  Hilfe,,8837670,4740
Lepra Society,,12592088,3563
Lepra UK,,148685497,272
LEPROSY RESEARCH INITIATIVE,,12661860,3542
Les Amis De Sister Amili,,9507650,4503
Les Amis des Enfants du Monde,,9947856.57,4329
Les Amis du Tibet,,22423186.4,2171
LES GALOPINS DE CALCUTTA,,10421281.87,4168
Les Rameaux Verts,,8739650,4777
LESTA PACKAGING,,9773365,4399
Letz Dream Foundation,,11240579.71,3916
Levi Strauss Foundation,,11579225.11,3826
LGT Venture Philanthropy,,118284184.4,345
LIA RELIEF TRUST,,12010990.62,3704
LIC Housing Finance Ltd,,22311770,2180
Life Bible Church USA,,12782266,3522
Life Challenge International,,19711468.85,2416
Life change Ministry International,,18461062.68,2570
Life Light Mission,,9278075,4574
Life Project for Youth,,20995923,2295
LIFT eV Zukunft fur indische Madchen,,12049133.88,3698
LIFT Foundation,,13600875,3308
LIFT UP THEIR VOICES,,63107436,704
LIFT ZUKUNFTFUR INDISCHE MACHEN E V,,25230532.46,1913
Light for the World,Light for the World,20923717,2299
LIGHT FOR THE WORLD,Light for the World,13040805,3441
Light House Ministries Sacramento DBA Good Hands,Lighthouse Ministries,14144721.16,3195
Light in Life Organisation,,10269589,4213
Light Legacy Institute,,57395570,791
Lighthouse Ministries,Lighthouse Ministries,11735090.1,3779
LIKVIDACE LEPRY,,13030478.45,3446
Limmat Stiftung,,16294755,2851
LinkedIn,,16122152,2872
LINSI STIFT,Linsi Stift,9891348,4356
Linsi Stift,Linsi Stift,9150088,4624
LIONS CLUB INTERNATIONAL FOUNDATION,Lions Clubs International Foundation,23843420.66,2050
LIONS CLUB INTERNATIONAL FOUNDATION USA,Lions Clubs International Foundation,9362884,4552
LIONS CLUBS INTERNATIONAL FOUNDATION,Lions Clubs International Foundation,43305394,1054
Lions Clubs International Foundation,Lions Clubs International Foundation,30327029.8,1592
Lipoid Stiftung,,34124253,1392
LIRNEasia,,8857578,4728
Listituto delle Figlie  di Santa Maria Della Provvidenza,,17171727.08,2726
Little Flower Generalate Thrikkakkara,,14623345.75,3098
LITTLE HILLS,,400247508,77
Little Way Association,,13202402.55,3405
LittleBigHelp,,42866216.52,1074
Live to Love Charitable Foundation Limited,,67813574.62,642
LIVING  AND LEARNING INTL FOUNDATION,Living and Learning International Foundation,12633094.69,3552
Living Hope Fellowship,,9593195,4475
LIVING LEARNING INTL FOUNDATION,Living and Learning International Foundation,34627008.05,1363
Living Water Foundation,Living Water Foundation,21292361.98,2265
LIVING WATER FOUNDATION,Living Water Foundation,20195921,2372
Living Water International,Living Water International,11130272.88,3955
LIVING WATER INTERNATIONAL,Living Water International,10801816,4043
LLOYD CARTER,,9646566.36,4452
LMN Publishing International,,39375412,1193
LNI   LA NUOVA INFANZIA ONLUS,,15666614,2942
Lockheed Martin Corporation,,99204581,432
Lokar Poon Grace and Leung Pak to Francis Trustees,,20106000,2375
LONDON SCHOOL OF ECONOMICS,London School of Economics,48305759.88,933
London School of Hygeine and Trophical Medicine,London School of Hygiene and Tropical Medicine,26696697.23,1816
London School of Hygiene,London School of Hygiene and Tropical Medicine,11694158,3791
LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,London School of Hygiene and Tropical Medicine,63640819,695
London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,9180664,4613
LOTT CAREY BAPTIST FOREIGN MISSION CONVENTION,,9822607,4380
LOTUS FLOWER TRUST,,10789262,4047
Lotus Petal Charitable Foundation UK,,69463862,626
LOUIS DREYFUS,,27726638.5,1742
Love and Hope,,27546874.35,1755
Love Counts Now,,53520847.39,837
LOVE FOR CHRIST,,22690974.39,2145
Love in Action Trust,,22643076,2152
Love India Mission Endeavor,,27613729.08,1751
Love Justice International,,205429959,171
LOVE MANIFEST,,12641941,3550
LOVE N CARE MINISTRIES,,14804039,3072
Love Reach Transfer,,10977691,3992
LOVE SONG FOUNDATION,,21534220,2240
LOVE THE ONE CHARITY,,31832175,1510
LUI Che Woo Prize Limited,,186608000,202
Lush Fresh Handmade Cosmetics,,12307633.17,3641
