donor_name,canonical_name,total_given,rank_overall
ANDHERI HILFE BONN,Andheri Hilfe,14036530,3216
Andheri hilfe bonn,Andheri Hilfe,8426550,4916
ANDHERI HILFE BONN E V,Andheri Hilfe,14622140,3099
Andheri Hilfe Bonn e V,Andheri Hilfe,14595592.39,3104
Andheri Hilfe Bonn E V,Andheri Hilfe,11723086,3782
Andheri hilfe Bonn e V,Andheri Hilfe,10665445,4091
Andheri Hilfe ev,Andheri Hilfe,13548110,3320
Andheri kinder Und Leprahilfe E V,,22749542,2141
Andhra Bank,,20842913,2309
ANESVAD FOUNDATION,,30478696.91,1581
Angelo Card Bagnasco,,14794643,3074
Anglican  Aid,Anglican Aid,11211907.93,3932
Anglican Aid,,10078137.27,4271
Anglo Eastern Ship Management India Pvt Ltd,,64182278,681
ANGLO INDIAN CONCERN,Anglo Indian Concern,10738964,4063
ANIMAUX SECOURS,,11801677,3766
Anja Fischer,,19462995,2444
ANKLESHWAR MARKAZE ISLAMI TRUST,,23352399.87,2093
Ann Huffman Financial Secretary KULPAHAR KIDS HOME AND CHRISTTIAN SCHOOL,Kulpahar Kids Home and Christian School,61116047.21,739
Annai Trust,,17680714,2661
ANNAPURNA STIFTUNG,,142066491,288
Annette Massmann,,24706605,1964
ANOOPAM MISSION,,130528098,323
Anti Slavery international,Anti Slavery International,20321828,2360
Anti Slavery International,Anti Slavery International,10986745.99,3990
Antonio Galli,,36949754.24,1271
Anugrah Swiss Association,,11879110,3739
ANUGRAHA ACT INC,,9025795,4660
Anugraham Charitable Trust,,300342207.5,105
ANURAAG FOUNDATION,,22368864,2176
Anurag Society,,38049210,1240
Aon Consulting Private Limited,,10373108,4183
Aon Services India Pvt Ltd,,12807317,3513
Apex Community Church,Apex Community Church,15207615.5,3017
APEX COMMUNITY CHURCH,Apex Community Church,13739502,3274
APOSTOLIC CHURCHES,,18104137.15,2613
Apostolic Life Community,,63396289,701
Apostolic Nunciature,Apostolic Nunciature in India,281533732.4,117
APOSTOLIC NUNCIATURE,Apostolic Nunciature in India,87130242.37,493
Apostolic Nunciature in India,Apostolic Nunciature in India,490378789.3,59
APOSTOLIC NUNCIATURE IN INDIA,Apostolic Nunciature in India,170340519,232
Apostolic Nunciature In India,Apostolic Nunciature in India,60143849,756
Apostolic Nunciature in india,Apostolic Nunciature in India,28504220,1693
Apostolic Nunciature in INdia,Apostolic Nunciature in India,25360573.14,1900
Apostolic nunciature in india,Apostolic Nunciature in India,16415456.5,2832
Apostolic Nunciature to India,Apostolic Nunciature in India,17582190,2672
apostolic nunciatureindia,Apostolic Nunciature in India,19314139,2460
Apostolic Nuncio,,55807114,814
APOSTOLIC NUNCIO,Apostolic Nuncio,26008602.5,1861
APOSTOLIC NUNICATURE,Apostolic Nunciature in India,14312723,3156
Apostolic Nunicature in India,Apostolic Nunciature in India,23306740.5,2098
APPLE VALLEY BAPTIST CHURCH,,14137803,3197
Applied  Materials India Pvt Ltd,,28716710,1680
APPOSTOLIC NUNCIATURE IN INDIA,Apostolic Nunciature in India,27689310,1745
Aqua Alimenta,,30427786.77,1585
ARBEITERWHOLFA HRT,,11991764.66,3712
Arch Diocese of Cologne,Archdiocese of Koln,9354880,4556
Arch Diocese of toronto,,23021781.83,2120
Archdiocese of Cologne,Archdiocese of Koln,41039879.43,1121
ARCHDIOCESE OF COLOGNE,Archdiocese of Koln,9332434,4561
Archdiocese of Galveston,,21199778.71,2272
ARCHDIOCESE OF GANDHINAGAR,,12889005,3477
Archdiocese of Koeln,Archdiocese of Koln,8761692,4768
Archdiocese of Koln,Archdiocese of Koln,11764842.5,3773
Archdiocese of Singapore,,16666664.08,2785
Archdiocese of Trivandrum,,34616532,1365
Archdiocese of Washington,,21765621.5,2221
ARCHDOICESE OF CHANGANACHERR Y,,14914100,3063
Archidiecezni Charita Praha Caritas Prague,Arcidiecezni Charita Praha,9048212,4652
Arcidicecezni Charita Praha,Arcidiecezni Charita Praha,21077255.97,2285
Arcidiecezni  Charita Praha,Arcidiecezni Charita Praha,8896682,4710
Arcidiecezni Charita Praha,,9612132,4468
Arcidiecezni Charita Praha Caritas Prague,Arcidiecezni Charita Praha,8502171.21,4886
AREA COMMUNITY CHURCH,,9339237,4558
ARFU Services Ltd,,12093821.5,3680
ARICENT TECHNOLOGIES HOLDINGS LIMITED,,101355250,416
Armman,,8262336,4987
ARMMAN USA,,67722118.5,645
Arms Around the Child,,10631813.17,4101
ARON ENTERPRISE LIMITED,,19201916.87,2471
Arpan Foundation,Arpan Foundation,87425584.44,491
ARPAN FOUNDATION,Arpan Foundation,28963060.77,1665
ARPAN FOUNDATION INC,Arpan Foundation,31628262.64,1521
ARSHA VIDYA PITHAM,,30002380.58,1607
ART OF LIVING FOUNDATION,Art of Living Foundation,196489114.6,183
Art of Living Foundation,Art of Living Foundation,40378604,1147
Aruna Partnership,,19103740.32,2482
Arvedi Concerns Ltd,,49747540,896
Asha For Education,Asha for Education,108290000,387
Asha for Education,Asha for Education,103319601,404
ASHA FOR EDUCATION,Asha for Education,97631157.4,440
ASHA for Education,Asha for Education,12561000,3572
ASHA For Education,Asha for Education,8605000,4848
Asha For Education Seattle Chapter,Asha for Education,8592000,4855
Asha Group,,14125162,3199
Asha Jyothi,,9204566.84,4604
Asha Niketan Welfare Centre,,9075310,4643
ASHOKA,,26685762.98,1817
ASIA INITIATIVES,Asia Initiatives,11351126.18,3888
Asia Initiatives,Asia Initiatives,9360464.7,4553
Asian Aid Orgranisation,,236321204.4,145
Asian Aid USA Ltd,,205350524,172
ASIAN CLASSICS INPUT PROJECT,,22598126.67,2158
Asian Farmers Association,,8883897,4717
Asian Forum for Human Rights and Development,,13076231.25,3434
Asian Mission Outreach,,10818298,4035
ASIAN PARTNERS INTERNATIONAL,,85955502,509
Asianet Communications Private Limited,,10000000,4298
Asianet Star Communications Private Limited,,9145000,4629
ASIAS HOPE INTERNATIONAL,,47758998.73,946
ASIE TANA INTER AIDE,Asie Tana Inter Aide ATIA,27967822.48,1727
Asie Tana Inter Aide ATIA,Asie Tana Inter Aide ATIA,8424197,4919
ASLANS ARMY DBA VIKASITHA MINISTRIES,,16613501,2795
ASMAE,,9433266.2,4529
Aspire International LLC,Aspire International LLC,120284915,342
Aspire International LLC IN,Aspire International LLC,114812665,360
ASS ASMFIS,,10677999,4085
ASSEFA ALESSANDRIA,,37276421.71,1264
ASSEFA Group Italia,,30115303,1604
Assemblee Di Dio In Italia,,8886400.25,4715
ASSEMBLIES OF GOD OF NORTH INDIA,Assembllies of God of North India,22620543.42,2156
Assembllies of God of North India,Assembllies of God of North India,15523105.9,2964
Assisi Aid Projects,,10498519.1,4141
Asso Souten Ashalayam,,11106063,3962
ASSOC AVTM,,21179157.51,2274
Assocation for Cultural Interchange Inc,,17693819,2660
Associated British Food PLC,,11909095,3732
ASSOCIATION  FOR REF.MINISTRIES ABROAD,,22125440,2196
ASSOCIATION AIDE AUX PLUS DEMUNIS,,9857886,4371
Association Beppe Rossana Mantovan,,8296904,4971
